iter	Passed	Remaining
694	7176	3149
695	7186	3138
696	7195	3128
697	7204	3117
698	7215	3107
699	7226	3097
700	7234	3085
701	7254	3079
702	7265	3069
703	7276	3059
704	7286	3048
705	7295	3038
706	7306	3028
707	7316	3017
708	7330	3008
709	7341	2998
710	7350	2987
711	7361	2977
712	7370	2966
713	7380	2956
714	7391	2946
715	7401	2935
716	7411	2925
717	7420	2914
718	7430	2903
719	7440	2893
720	7449	2882
721	7458	2871
722	7468	2861
723	7477	2850
724	7487	2840
725	7498	2830
726	7510	2820
727	7520	2810
728	7529	2799
729	7538	2788
730	7547	2777
731	7556	2766
732	7565	2755
733	7573	2744
734	7583	2734
735	7594	2724
736	7603	2713
737	7612	2702
738	7622	2692
739	7630	2680
740	7639	2670
741	7648	2659
742	7656	2648
743	7664	2637
744	7674	2626
745	7685	2616
746	7693	2605
747	7703	2595
748	7711	2584
749	7721	2573
750	7730	2563
751	7740	2552
752	7751	2542
753	7761	2532
754	7771	2521
755	7779	2510
756	7787	2499
757	7798	2489
758	7809	2479
759	7821	2469
760	7831	2459
761	7844	2450
762	7858	2440
763	7870	2431
764	7880	2420
765	7889	2409
766	7897	2398
767	7905	2388
768	7916	2377
769	7925	2367
770	7934	2356
771	7946	2346
772	7956	2336
773	7966	2326
774	7976	2315
775	7987	2305
776	7996	2295
777	8005	2284
778	8014	2273
779	8023	2262
780	8032	2252
781	8042	2242
782	8051	2231
783	8064	2221
784	8074	2211
785	8082	2200
786	8092	2190
787	8104	2180
788	8114	2169
789	8123	2159
790	8133	2148
791	8143	2138
792	8151	2127
793	8163	2118
794	8174	2107
795	8183	2097
796	8193	2086
797	8203	2076
798	8212	2066
799	8221	2055
800	8231	2045
801	8240	2034
802	8250	2024
803	8260	2013
804	8270	2003
805	8282	1993
806	8292	1983
807	8301	1972
808	8311	1962
809	8323	1952
810	8333	1942
811	8341	1931
812	8350	1920
813	8360	1910
814	8369	1899
815	8378	1889
816	8387	1878
817	8397	1868
818	8406	1857
819	8417	1847
820	8426	1837
821	8437	1827
822	8448	1816
823	8457	1806
824	8467	1796
825	8476	1785
826	8486	1775
827	8496	1764
828	8507	1754
829	8518	1744
830	8529	1734
831	8539	1724
832	8550	1714
833	8560	1703
834	8570	1693
835	8580	1683
836	8589	1672
837	8599	1662
838	8610	1652
839	8620	1641
840	8630	1631
841	8642	1621
842	8654	1611
843	8664	1601
844	8675	1591
845	8686	1581
846	8695	1570
847	8705	1560
848	8715	1550
849	8724	1539
850	8733	1529
851	8744	1519
852	8754	1508
853	8765	1498
854	8774	1488
855	8784	1477
856	8794	1467
857	8803	1457
858	8812	1446
859	8822	1436
860	8831	1425
861	8840	1415
862	8849	1404
863	8858	1394
864	8867	1383
865	8877	1373
866	8886	1363
867	8896	1352
868	8907	1342
869	8916	1332
870	8925	1321
871	8933	1311
872	8942	1300
873	8951	1290
874	8960	1280
875	8970	1269
876	8981	1259
877	8989	1249
878	8998	1238
879	9009	1228
880	9020	1218
881	9030	1208
882	9040	1197
883	9050	1187
884	9062	1177
885	9072	1167
886	9082	1157
887	9092	1146
888	9104	1136
889	9115	1126
890	9125	1116
891	9135	1106
892	9145	1095
893	9153	1085
894	9162	1074
895	9171	1064
896	9181	1054
897	9191	1043
898	9200	1033
899	9209	1023
900	9219	1013
901	9230	1002
902	9240	992
903	9251	982
904	9262	972
905	9271	961
906	9282	951
907	9294	941
908	9304	931
909	9314	921
910	9326	911
911	9336	900
912	9345	890
913	9355	880
914	9367	870
915	9377	859
916	9387	849
917	9398	839
918	9408	829
919	9419	819
920	9428	808
921	9439	798
922	9448	788
923	9457	777
924	9468	767
925	9477	757
926	9486	747
927	9498	736
928	9509	726
929	9518	716
930	9529	706
931	9539	696
932	9549	685
933	9559	675
934	9569	665
935	9578	654
936	9589	644
937	9598	634
938	9609	624
939	9618	613
940	9627	603
941	9637	593
942	9647	583
943	9657	572
944	9665	562
945	9677	552
946	9686	542
947	9697	531
948	9707	521
949	9719	511
950	9729	501
951	9738	491
952	9747	480
953	9756	470
954	9766	460
955	9774	449
956	9783	439
957	9792	429
958	9801	419
959	9811	408
960	9820	398
961	9832	388
962	9842	378
963	9855	368
964	9864	357
965	9875	347
966	9886	337
967	9896	327
968	9905	316
969	9918	306
970	9929	296
971	9940	286
972	9950	276
973	9960	265
974	9970	255
975	9978	245
976	9989	235
977	9998	224
978	10007	214
979	10016	204
980	10028	194
981	10037	183
982	10046	173
983	10055	163
984	10064	153
985	10074	143
986	10083	132
987	10093	122
988	10101	112
989	10110	102
990	10122	91
991	10132	81
992	10141	71
993	10150	61
994	10160	51
995	10169	40
996	10179	30
997	10188	20
998	10199	10
999	10207	0
